Player,Rating,Deviation,Games,Win,Draw,Loss,Lag
Ashleigh Barty,2015.015101341383,74.01711410720934,267,195,0,72,1
Barbora Krejcikova,1901.2991399635607,70.01113810799275,87,57,0,30,1
Aryna Sabalenka,1873.5252512410539,70.19917070019572,238,163,0,75,1
Naomi Osaka,1869.5392703067257,80.47719911134946,241,158,0,83,1
Ons Jabeur,1857.9012372081388,67.09020971974367,205,117,0,88,1
Iga Swiatek,1849.0090313933579,72.65404116774855,86,59,0,27,1
Angelique Kerber,1835.8591570613617,68.69836827691252,686,441,0,245,1
Karolina Pliskova,1833.3560161839723,66.74148087236155,531,351,0,180,1
Victoria Azarenka,1832.6151440689318,70.51890721397909,604,434,0,170,1
Cori Gauff,1830.6403140845152,69.58242153464239,81,54,0,27,1
Jessica Pegula,1828.135369303805,67.61888131694002,117,67,0,50,1
Simona Halep,1824.4675210724722,77.65985250321455,602,418,0,184,1
Anett Kontaveit,1821.0717441272502,69.45481906371103,284,167,0,117,0
Garbine Muguruza,1810.665485267874,72.89320471153441,449,290,0,159,1
Serena Williams,1809.525785947994,77.60597593070467,709,602,0,107,7
Paula Badosa,1804.4160818383464,69.12213532754576,83,48,0,35,1
Danielle Rose Collins,1802.5283733678743,68.4691529994519,131,76,0,55,1
Maria Sakkari,1802.525250954254,71.19264288936854,237,126,0,111,1
Elina Svitolina,1799.1143487986185,69.4663561854815,491,319,0,172,0
Jelena Ostapenko,1782.98497410287,68.58202686015575,292,164,0,128,1
Karolina Muchova,1782.0299473444718,71.50266896369666,88,55,0,33,1
Petra Kvitova,1777.3785251068812,70.02995299642431,677,463,0,214,1
Darya Kasatkina,1773.8361074363283,67.48673333642319,288,167,0,121,0
Jennifer Brady,1772.645007293461,73.907336036212,136,68,0,68,1
Anastasia Pavlyuchenkova,1766.996639533701,71.16349058355537,634,364,0,270,2
Elise Mertens,1765.3398033036065,70.23305092350869,279,180,0,99,1
Camila Giorgi,1758.2146283926527,69.4945169388985,327,173,0,154,1
Elena Rybakina,1753.4966699069203,69.04579191392011,117,77,0,40,1
Sara Sorribes Tormo,1746.2369689145223,69.44712748472507,176,84,0,92,0
Katerina Siniakova,1744.648744995633,70.19098816713625,279,132,0,147,0
Bianca Andreescu,1741.0291708012503,80.3536356443861,88,63,0,25,1
Sofia Kenin,1733.1255939179857,74.21663835304379,168,105,0,63,7
Veronika Kudermetova,1731.331498562995,70.4919884325668,131,74,0,57,1
Belinda Bencic,1722.5860152767793,69.56800414340769,311,178,0,133,1
Ludmilla Samsonova,1716.7966904791606,74.7894850431024,47,22,0,25,1
Johanna Konta,1714.206673602504,74.31560320091656,319,192,0,127,1
Yulia Putintseva,1712.8903152857479,68.5105888234601,332,165,0,167,1
Ekaterina Alexandrova,1712.0975997027283,71.852030806475355,174,93,0,81,0
Andrea Petkovic,1710.9179974258266,72.98365275084302,497,281,0,216,3
Ana Konjuh,1709.0959426434094,75.90876735011099,149,84,0,65,3
Tsvetana Pironkova,1700.8649727072664,90.85288469724405,357,157,0,200,7
Jil Belen Teichmann,1700.7620218450759,71.17234029426123,101,51,0,50,1
Anastasija Sevastova,1694.1909126301593,71.55379329832866,377,211,0,166,2
Magda Linette,1690.492242882467,71.27490744024715,237,114,0,123,0
Alize Cornet,1687.6516742804172,71.0094400034963,592,298,0,294,0
Sloane Stephens,1681.8305611530411,71.28040222876612,416,242,0,174,1
Irina Camelia Begu,1681.6593531618005,73.68688562761112,385,193,0,192,0
Sorana Cirstea,1681.3371923844345,72.05796614105084,474,232,0,242,0
Kaia Kanepi,1680.492954621934,79.19568948202844,370,207,0,163,0
Viktorija Golubic,1680.1906008328717,72.8515224106962,137,64,0,73,0
Amanda Anisimova,1676.2982525085886,71.44611682291729,98,55,0,43,2
Marta Kostyuk,1673.4334786768356,76.37933339929931,51,26,0,25,0
Carla Suarez Navarro,1671.8896327496707,90.45367527566471,596,348,0,248,7
Marketa Vondrousova,1670.4758115084596,73.2948152239357,134,77,0,57,0
Maria Camila Osorio Serrano,1669.860768019235,83.01247202399298,37,24,0,13,0
Qiang Wang,1669.2282038212563,70.6895040008664,247,133,0,114,11
Katie Boulter,1668.1297822772162,82.71555501271293,45,23,0,22,7
Madison Keys,1666.0633588866501,74.26058622065459,361,221,0,140,1
Elena Vesnina,1665.1371620721402,100.44425739953637,425,221,0,204,7
Shelby Rogers,1664.696785265699,72.06371299634287,182,84,0,98,0
Dayana Yastremska,1662.8863900666356,79.11146742391938,112,64,0,48,1
Tamara Zidansek,1660.9645687848626,73.08281514846274,111,58,0,53,0
Vera Zvonareva,1660.594116605526,78.96171661703387,378,239,0,139,0
Eugenie Bouchard,1657.5982556816598,74.68882812420591,303,161,0,142,20
Maryna Zanevska,1656.751111566355,100.1856305864898,42,14,0,28,4
Ajla Tomljanovic,1652.525570462977,71.48881466373595,270,122,0,148,2
Anastasia Potapova,1651.621681413001,75.94398887041034,77,39,0,38,2
Fiona Ferro,1650.862597281503,73.47014032810827,92,44,0,48,0
Svetlana Kuznetsova,1649.8846711053513,77.20900330737398,648,405,0,243,7
Caroline Garcia,1649.207485364643,69.94279940695357,445,246,0,199,0
Margarita Gasparyan,1648.9589328991701,79.21767136603795,106,50,0,56,11
Rebecca Marino,1648.8995606473195,109.33658652531226,63,27,0,36,2
Kiki Bertens,1644.6767799147601,78.7020328383647,410,237,0,173,7
Laura Siegemund,1642.9080154159876,73.17764224710079,186,91,0,95,7
Tereza Martincova,1642.845837639786,71.8815701231643,92,39,0,53,0
Kristina Mladenovic,1642.4567154843144,71.14410366999202,440,215,0,225,0
Nadia Podoroska,1642.013980501367,72.96026115014894,66,36,0,30,0
Donna Vekic,1640.2398651671542,74.482029270397,305,152,0,153,2
Shuai Zhang,1635.604271400888,69.11670603861386,373,172,0,201,0
Saisai Zheng,1634.840880670811,73.86707603262894,215,91,0,124,11
Alison Riske,1634.4595530711044,76.55090501532284,325,156,0,169,1
Aliaksandra Sasnovich,1630.1635602434778,73.08442616475259,221,110,0,111,0
Francoise Abanda,1630.1055978219995,119.278663804906,39,16,0,23,0
Rebecca Peterson,1627.7397564209014,74.4974663389158,139,64,0,75,0
Petra Martic,1627.1527237722519,71.47224809099603,312,157,0,155,1
Leylah Annie Fernandez,1627.0998923608054,76.99153881591948,49,26,0,23,1
Daria Gavrilova,1622.1236288732155,85.69310487498309,245,125,0,120,24
Danka Kovinic,1619.0756672620682,79.86792383137265,169,74,0,95,0
Su Wei Hsieh,1617.8341331921717,79.31335866008766,321,158,0,163,0
Oceane Dodin,1617.5985784369473,78.05509968459334,90,38,0,52,2
Anna Karolina Schmiedlova,1614.7917923962327,73.9892819789207,208,93,0,115,3
Zarina Diyas,1609.3899714810623,75.82724773649602,234,109,0,125,0
Sara Errani,1605.1482492593382,77.47510200060205,601,344,0,257,5
Kaja Juvan,1604.2255119048718,82.20974701002477,47,21,0,26,0
Barbora Zahlavova Strycova,1603.5599845804654,75.84160703214596,536,273,0,263,24
Aleksandra Krunic,1597.701684192328,90.624881329563,183,82,0,101,3
Lesia Tsurenko,1594.9395835632363,90.33127968210569,304,141,0,163,3
Patricia Maria Tig,1591.4895647552225,79.17588198306909,81,38,0,43,7
Ana Bogdan,1590.781664412167,76.06995583131987,119,49,0,70,0
Paula Ormaechea,1586.710288886407,103.59677470431609,90,43,0,47,3
Lauren Davis,1586.3521115601811,76.60023843199036,260,117,0,143,0
Heather Watson,1586.308699214064,76.39156446915074,316,143,0,173,0
Astra Sharma,1586.0184989147917,77.01988126529363,46,21,0,25,4
Marie Bouzkova,1584.8683102082575,74.15765905887703,76,33,0,43,0
Polona Hercog,1582.5918339689233,78.49327105885311,388,177,0,211,0
Kirsten Flipkens,1581.8501200457424,77.40023590986188,424,202,0,222,19
Caty Mcnally,1577.441421537327,83.46351883503989,35,14,0,21,0
Kateryna Kozlova,1577.424064943573,76.62671036437808,147,62,0,85,4
Venus Williams,1575.8378303715772,81.63191472541403,630,456,0,174,0
Xiyu Wang,1575.1001396537126,83.75386637991971,35,14,0,21,10
Greetje Minnen,1573.6893314347317,79.06141648460193,41,18,0,23,5
Kristina Kucova,1572.8185654770098,84.46210458666465,91,36,0,55,3
Alison Van Uytvanck,1568.629030124061,77.55251854286857,241,110,0,131,0
Madison Brengle,1561.4024993647952,77.33631318285248,193,75,0,118,7
Lin Zhu,1560.6872903214448,84.02930548977243,97,39,0,58,7
Bernarda Pera,1555.056953170545,74.10165466159911,100,42,0,58,0
Bethanie Mattek Sands,1553.5901756527219,108.4596928570669,244,102,0,142,0
Varvara Gracheva,1552.0699247948191,78.88893836800796,35,13,0,22,0
Coco Vandeweghe,1549.2333285557916,85.75272153013903,284,141,0,143,3
Ysaline Bonaventure,1547.2195395849867,84.8147489568573,62,25,0,37,4
Tamara Korpatsch,1545.3940165292158,85.10005321151903,39,17,0,22,4
Kristie Ahn,1544.613945741053,87.88414439817551,47,17,0,30,7
Anna Lena Friedsam,1543.9540510156062,84.4657278529584,116,53,0,63,3
Kurumi Nara,1542.617798534308,93.35791854948134,218,93,0,125,10
Jasmine Paolini,1536.2836138696423,76.95876349824029,63,22,0,41,0
Viktoria Kuzmova,1534.5702060026133,77.82077962748798,107,49,0,58,3
Reka Luca Jani,1534.5089914493544,109.67070588075855,36,15,0,21,3
Kristyna Pliskova,1534.1144994611245,73.7180424272526,226,91,0,135,3
Nina Stojanovic,1533.553905143375,75.06886389732846,62,23,0,39,5
Mihaela Buzarnescu,1533.542510659466,77.32304384763438,125,60,0,65,3
Nao Hibino,1532.542861409419,77.4199026033413,152,69,0,83,0
Ivana Jorovic,1529.964241820463,98.37879992282784,42,18,0,24,5
Arantxa Rus,1528.5771609289004,77.0553458157904,178,66,0,112,5
Monica Niculescu,1528.3991460632483,95.17109158049517,398,186,0,212,7
Anna Kalinskaya,1528.1383202175805,81.83646487814097,54,16,0,38,5
Natalia Vikhlyantseva,1525.2657339490834,87.05672455505503,95,39,0,56,4
Anna Blinkova,1523.8544804544829,78.12309858266958,94,33,0,61,0
Sachia Vickery,1516.154196774291,100.01410833401941,77,32,0,45,18
Vera Lapko,1512.4846384373634,89.3140462601312,50,21,0,29,20
Olga Danilovic,1512.0649297025802,88.0642844033266,33,17,0,16,4
Renata Zarazua,1506.4467971894635,88.11377381489027,37,14,0,23,17
