tourney_date,tourney_name,surface,round,best_of,winner_name,loser_name,score
2021-04-17,BJK Cup Playoffs: KAZ vs ARG,Clay,RR,3,Yulia Putintseva,Nadia Podoroska,2-6 6-4 6-0
2021-04-17,BJK Cup Playoffs: KAZ vs ARG,Clay,RR,3,Elena Rybakina,Nadia Podoroska,6-4 6-4
2021-04-12,Charleston 2,Clay,F,3,Astra Sharma,Ons Jabeur,2-6 7-5 6-1
2021-04-12,Charleston 2,Clay,SF,3,Ons Jabeur,Danka Kovinic,6-3 6-0
2021-04-12,Charleston 2,Clay,QF,3,Danka Kovinic,Shelby Rogers,7-5 6-1
2021-04-05,Charleston 1,Clay,F,3,Veronika Kudermetova,Danka Kovinic,6-4 6-2
2021-04-05,Charleston 1,Clay,SF,3,Veronika Kudermetova,Paula Badosa,6-3 6-3
2021-04-05,Charleston 1,Clay,SF,3,Danka Kovinic,Ons Jabeur,6-3 6-2
2021-04-05,Bogota,Clay,QF,3,Tamara Zidansek,Sara Errani,6-3 6-4
2021-04-05,Charleston 1,Clay,QF,3,Paula Badosa,Ashleigh Barty,6-4 6-3
2021-04-05,Charleston 1,Clay,QF,3,Danka Kovinic,Yulia Putintseva,6-7(2) 7-5 6-1
2021-04-05,Charleston 1,Clay,QF,3,Ons Jabeur,Cori Gauff,6-3 6-3
2021-04-05,Charleston 1,Clay,R16,3,Ashleigh Barty,Shelby Rogers,7-6(3) 4-6 6-4
2021-04-05,Charleston 1,Clay,R16,3,Yulia Putintseva,Garbine Muguruza,0-6 2-2 RET
2021-04-05,Charleston 1,Clay,R16,3,Danka Kovinic,Petra Kvitova,6-4 6-1
2021-04-05,Charleston 1,Clay,R16,3,Ons Jabeur,Alize Cornet,5-7 6-3 6-3
2021-04-05,Bogota,Clay,R32,3,Sara Errani,Sara Sorribes Tormo,7-5 7-5
2021-04-05,Charleston 1,Clay,R32,3,Shelby Rogers,Amanda Anisimova,1-6 7-5 6-4
2021-04-05,Charleston 1,Clay,R32,3,Paula Badosa,Belinda Bencic,6-2 6-7(2) 6-1
2021-04-05,Charleston 1,Clay,R32,3,Ajla Tomljanovic,Marie Bouzkova,4-6 7-5 7-5
2021-04-05,Charleston 1,Clay,R32,3,Yulia Putintseva,Zarina Diyas,6-2 6-2
2021-04-05,Charleston 1,Clay,R32,3,Danka Kovinic,Leylah Annie Fernandez,6-4 3-6 6-3
2021-04-05,Charleston 1,Clay,R32,3,Alize Cornet,Elise Mertens,7-5 6-3
2021-04-05,Charleston 1,Clay,R32,3,Cori Gauff,Ludmilla Samsonova,4-6 6-1 6-4
2021-04-05,Charleston 1,Clay,R64,3,Shelby Rogers,Kristina Mladenovic,6-4 6-3
2021-04-05,Charleston 1,Clay,R64,3,Amanda Anisimova,Magda Linette,5-7 6-2 6-3
2021-04-05,Charleston 1,Clay,R64,3,Anastasija Sevastova,Anastasia Potapova,6-3 6-3
2021-04-05,Charleston 1,Clay,R64,3,Leylah Annie Fernandez,Shuai Zhang,6-3 6-1
2021-04-05,Charleston 1,Clay,R64,3,Cori Gauff,Tsvetana Pironkova,6-3 6-0
2021-03-22,Miami,Hard,F,3,Ashleigh Barty,Bianca Andreescu,6-3 4-0 RET
2021-03-22,Miami,Hard,SF,3,Ashleigh Barty,Elina Svitolina,6-3 6-3
2021-03-22,Miami,Hard,SF,3,Bianca Andreescu,Maria Sakkari,7-6(7) 3-6 7-6(4)
2021-03-22,Miami,Hard,QF,3,Ashleigh Barty,Aryna Sabalenka,6-4 6-7(5) 6-3
2021-03-22,Miami,Hard,QF,3,Elina Svitolina,Anastasija Sevastova,6-3 6-2
2021-03-22,Miami,Hard,QF,3,Bianca Andreescu,Sara Sorribes Tormo,6-4 3-6 6-3
2021-03-22,Miami,Hard,QF,3,Maria Sakkari,Naomi Osaka,6-0 6-4
2021-03-22,Miami,Hard,R16,3,Ashleigh Barty,Victoria Azarenka,6-1 1-6 6-2
2021-03-22,Miami,Hard,R16,3,Aryna Sabalenka,Marketa Vondrousova,6-1 6-2
2021-03-22,Miami,Hard,R16,3,Anastasija Sevastova,Ana Konjuh,6-1 7-5
2021-03-22,Miami,Hard,R16,3,Elina Svitolina,Petra Kvitova,2-6 7-5 7-5
2021-03-22,Miami,Hard,R16,3,Bianca Andreescu,Garbine Muguruza,3-6 6-3 6-2
2021-03-22,Miami,Hard,R16,3,Sara Sorribes Tormo,Ons Jabeur,6-4 0-6 6-1
2021-03-22,Miami,Hard,R16,3,Maria Sakkari,Jessica Pegula,6-4 2-6 7-6(6)
2021-03-22,Miami,Hard,R16,3,Naomi Osaka,Elise Mertens,6-3 6-3
2021-03-22,Miami,Hard,R32,3,Ashleigh Barty,Jelena Ostapenko,6-3 6-2
2021-03-22,Miami,Hard,R32,3,Victoria Azarenka,Angelique Kerber,7-5 6-2
2021-03-22,Miami,Hard,R32,3,Marketa Vondrousova,Belinda Bencic,4-6 6-4 6-4
2021-03-22,Miami,Hard,R32,3,Aryna Sabalenka,Veronika Kudermetova,7-6(4) 6-4
2021-03-22,Miami,Hard,R32,3,Anastasija Sevastova,Simona Halep,W/O
2021-03-22,Miami,Hard,R32,3,Ana Konjuh,Iga Swiatek,6-4 2-6 6-2
2021-03-22,Miami,Hard,R32,3,Petra Kvitova,Johanna Konta,6-1 6-2
2021-03-22,Miami,Hard,R32,3,Elina Svitolina,Ekaterina Alexandrova,7-6(1) 6-4
2021-03-22,Miami,Hard,R32,3,Bianca Andreescu,Amanda Anisimova,7-6(4) 6-7(2) 6-4
2021-03-22,Miami,Hard,R32,3,Sara Sorribes Tormo,Elena Rybakina,6-1 3-6 6-2
2021-03-22,Miami,Hard,R32,3,Ons Jabeur,Sofia Kenin,6-4 4-6 6-4
2021-03-22,Miami,Hard,R32,3,Jessica Pegula,Karolina Pliskova,6-1 4-6 6-4
2021-03-22,Miami,Hard,R32,3,Maria Sakkari,Ludmilla Samsonova,6-0 6-1
2021-03-22,Miami,Hard,R32,3,Elise Mertens,Anett Kontaveit,6-2 0-6 6-2
2021-03-22,Miami,Hard,R64,3,Victoria Azarenka,Laura Siegemund,W/O
2021-03-22,Miami,Hard,R64,3,Belinda Bencic,Zarina Diyas,6-2 6-1
2021-03-22,Miami,Hard,R64,3,Marketa Vondrousova,Qiang Wang,6-4 6-4
2021-03-22,Miami,Hard,R64,3,Veronika Kudermetova,Danielle Rose Collins,6-3 6-2
2021-03-22,Miami,Hard,R64,3,Aryna Sabalenka,Tsvetana Pironkova,0-6 6-3 7-6(9)
2021-03-22,Miami,Hard,R64,3,Simona Halep,Caroline Garcia,3-6 6-4 6-0
2021-03-22,Miami,Hard,R64,3,Anastasija Sevastova,Cori Gauff,1-6 6-2 6-3
2021-03-22,Miami,Hard,R64,3,Ana Konjuh,Madison Keys,6-4 6-2
2021-03-22,Miami,Hard,R64,3,Iga Swiatek,Barbora Krejcikova,6-4 6-2
2021-03-22,Miami,Hard,R64,3,Petra Kvitova,Alize Cornet,6-0 6-4
2021-03-22,Miami,Hard,R64,3,Johanna Konta,Magda Linette,6-4 7-5
2021-03-22,Miami,Hard,R64,3,Ekaterina Alexandrova,Nadia Podoroska,6-0 6-4
2021-03-22,Miami,Hard,R64,3,Elina Svitolina,Shelby Rogers,3-6 7-5 6-3
2021-03-22,Miami,Hard,R64,3,Sara Sorribes Tormo,Jennifer Brady,3-6 6-4 6-1
2021-03-22,Miami,Hard,R64,3,Elena Rybakina,Kaia Kanepi,6-4 6-0
2021-03-22,Miami,Hard,R64,3,Ons Jabeur,Paula Badosa,7-6(6) 5-7 7-5
2021-03-22,Miami,Hard,R64,3,Sofia Kenin,Andrea Petkovic,6-7(6) 6-1 6-3
2021-03-22,Miami,Hard,R64,3,Karolina Pliskova,Saisai Zheng,6-2 6-1
2021-03-22,Miami,Hard,R64,3,Ludmilla Samsonova,Kiki Bertens,6-2 6-1
2021-03-22,Miami,Hard,R64,3,Elise Mertens,Katie Boulter,6-4 6-1
2021-03-22,Miami,Hard,R64,3,Anett Kontaveit,Sorana Cirstea,6-3 4-6 6-3
2021-03-22,Miami,Hard,R64,3,Naomi Osaka,Ajla Tomljanovic,7-6(3) 6-4
2021-03-22,Miami,Hard,R128,3,Zarina Diyas,Venus Williams,6-2 7-6(10)
2021-03-22,Miami,Hard,R128,3,Danielle Rose Collins,Kristina Mladenovic,6-3 6-3
2021-03-22,Miami,Hard,R128,3,Tsvetana Pironkova,Marta Kostyuk,7-6(4) 3-6 6-3
2021-03-22,Miami,Hard,R128,3,Ana Konjuh,Katerina Siniakova,7-6(3) 7-5
2021-03-22,Miami,Hard,R128,3,Alize Cornet,Svetlana Kuznetsova,2-6 6-2 6-1
2021-03-22,Miami,Hard,R128,3,Paula Badosa,Jil Belen Teichmann,5-6 RET
2021-03-22,Miami,Hard,R128,3,Andrea Petkovic,Shuai Zhang,7-5 6-1
2021-03-22,Miami,Hard,R128,3,Saisai Zheng,Fiona Ferro,2-6 6-4 6-3
2021-03-22,Miami,Hard,R128,3,Ludmilla Samsonova,Camila Giorgi,6-2 6-4
2021-03-22,Miami,Hard,R128,3,Ajla Tomljanovic,Anastasia Potapova,7-5 6-0
2021-03-15,Monterrey,Hard,F,3,Leylah Annie Fernandez,Viktorija Golubic,6-1 6-4
2021-03-15,St. Petersburg,Hard,F,3,Darya Kasatkina,Margarita Gasparyan,6-3 2-1 RET
2021-03-15,Monterrey,Hard,SF,3,Leylah Annie Fernandez,Sara Sorribes Tormo,7-5 7-5
2021-03-15,St. Petersburg,Hard,SF,3,Margarita Gasparyan,Vera Zvonareva,6-3 7-6(9)
2021-03-15,St. Petersburg,Hard,SF,3,Darya Kasatkina,Svetlana Kuznetsova,1-6 6-0 6-2
2021-03-15,Monterrey,Hard,QF,3,Sara Sorribes Tormo,Anna Karolina Schmiedlova,6-3 7-5
2021-03-15,St. Petersburg,Hard,QF,3,Margarita Gasparyan,Ekaterina Alexandrova,6-2 7-5
2021-03-15,St. Petersburg,Hard,QF,3,Darya Kasatkina,Veronika Kudermetova,1-6 6-1 6-2
