Player,464.Rating,465.Rating,466.Rating,467.Rating,468.Rating,469.Rating,470.Rating,471.Rating,472.Rating,473.Rating,474.Rating,475.Rating,476.Rating,477.Rating,478.Rating,479.Rating,480.Rating,481.Rating,482.Rating,483.Rating,484.Rating,485.Rating,486.Rating,487.Rating,488.Rating,489.Rating,490.Rating,491.Rating,492.Rating,493.Rating,494.Rating,495.Rating,496.Rating,497.Rating,498.Rating,499.Rating,500.Rating,501.Rating,502.Rating,503.Rating,504.Rating,505.Rating,506.Rating,507.Rating,508.Rating,509.Rating,510.Rating,511.Rating,512.Rating,513.Rating,514.Rating,515.Rating,516.Rating,517.Rating,518.Rating,519.Rating,520.Rating,521.Rating,522.Rating,523.Rating,524.Rating,525.Rating,526.Rating,527.Rating,528.Rating,529.Rating,530.Rating,531.Rating,532.Rating,533.Rating,534.Rating,535.Rating,536.Rating,537.Rating,538.Rating,539.Rating,540.Rating,541.Rating,542.Rating,543.Rating,544.Rating,545.Rating,546.Rating,547.Rating,548.Rating,549.Rating,550.Rating,551.Rating,552.Rating,553.Rating,554.Rating,555.Rating,556.Rating,557.Rating,558.Rating,559.Rating,560.Rating,561.Rating,562.Rating,563.Rating
Ajla Tomljanovic,1649.2140116817325,1638.3320441618234,1641.3896131862844,1693.240127026844,1693.240127026844,1693.240127026844,1680.4917192080522,1669.3367662580924,1669.3367662580924,1669.3367662580924,1669.3367662580924,1695.2707190722276,1685.6195187357775,1674.3845608273753,1674.3845608273753,1697.8029264795034,1697.8029264795034,1688.514512516385,1669.3554356583516,1669.3554356583516,1676.9706031082874,1698.1660719956415,1706.4335783641775,1706.4335783641775,1706.4335783641775,1697.155549372736,1714.5940644293232,1696.6953539703618,1699.1974509105057,1688.9422714198251,1687.1327445914526,1687.1327445914526,1674.2938954323993,1680.2986569939912,1665.0322054482947,1671.374346237951,1671.374346237951,1671.374346237951,1649.111617058716,1635.3698554033217,1635.3698554033217,1635.3698554033217,1642.264529070702,1677.8308974295906,1660.6718663338304,1651.7302765329391,1660.6328825605701,1647.4659387755778,1628.269694593296,1628.269694593296,1628.269694593296,1629.7604103642939,1629.7604103642939,1634.775304767007,1646.5332278062263,1650.929245266062,1650.929245266062,1655.2609141096868,1655.2609141096868,1655.3217506281937,1655.3217506281937,1655.3217506281937,1643.1140613810926,1630.4673226339212,1620.735320340962,1620.735320340962,1610.1868179550006,1597.552129383964,1593.216016437202,1593.216016437202,1593.216016437202,1603.9031960205432,1593.297000532185,1593.297000532185,1598.6951755234666,1575.0502690320525,1575.0502690320525,1575.0502690320525,1575.0502690320525,1597.4988306310072,1612.2854964348708,1610.4399707086225,1610.4399707086225,1602.2150040250117,1613.342765974624,1609.9101343388272,1609.9101343388272,1610.6062047996961,1610.6062047996961,1615.2463808860555,1615.2463808860555,1665.6726045368675,1665.6726045368675,1665.6726045368675,1662.3817718232438,1664.5818603343182,1649.8784283992773,1649.8784283992773,1649.8784283992773,1658.957748176737
Aliaksandra Sasnovich,1701.4190865852659,1718.1767657468117,1718.1767657468117,1702.9507731932513,1708.2773043514362,1719.1714106005923,1719.1714106005923,1739.3680822791873,1739.3680822791873,1739.3680822791873,1739.3680822791873,1755.8432018243354,1766.9085288554434,1771.9803769184637,1771.9803769184637,1771.9803769184637,1774.894944286787,1758.3829184034237,1751.7850107100032,1751.7850107100032,1725.6223544627758,1721.0559260949262,1721.0559260949262,1721.0559260949262,1721.0559260949262,1721.0559260949262,1721.0559260949262,1739.06386705082,1723.1114559192426,1723.1114559192426,1702.2131821060545,1702.2131821060545,1702.2131821060545,1694.3203855343108,1675.5366155388444,1673.0467861524658,1673.0467861524658,1648.150074469506,1648.150074469506,1636.5145285950675,1642.1798135126,1641.795305691809,1643.6305930348456,1643.6305930348456,1623.2205668246506,1615.0861122740155,1618.7947453972256,1618.7947453972256,1608.0501537444627,1608.0501537444627,1608.0501537444627,1608.0501537444627,1648.8138348956768,1650.6590964097827,1639.8254883891482,1625.2228079180638,1629.9001937075527,1629.9001937075527,1621.7011433719972,1621.7011433719972,1621.7011433719972,1645.7536582924524,1645.7536582924524,1645.7536582924524,1656.4831660117293,1658.866950390306,1658.866950390306,1658.866950390306,1657.8285465727488,1657.8285465727488,1662.680533598878,1660.95257410994,1657.7697731656415,1657.7697731656415,1645.3820241072617,1645.3820241072617,1640.7159129095364,1640.7159129095364,1643.3763426291648,1643.3763426291648,1643.3763426291648,1643.3763426291648,1643.3763426291648,1643.3763426291648,1643.3763426291648,1645.4663619501655,1645.4663619501655,1646.4428827869908,1646.4428827869908,1646.4428827869908,1646.4428827869908,1669.8114147641447,1669.8114147641447,1653.4186273585972,1639.283867508647,1639.283867508647,1639.283867508647,1618.7758147331754,1630.6981839793364,1623.4240778632702
Alison Riske,1656.3409569337948,1638.6637596155738,1620.3420682458188,1648.8075081862144,1648.8075081862144,1648.8075081862144,1635.1746296432161,1635.1746296432161,1635.1746296432161,1635.1746296432161,1623.002055929241,1680.885142795036,1680.885142795036,1674.0989390603813,1674.0989390603813,1674.0989390603813,1674.0989390603813,1674.4867844935172,1702.2473032523774,1702.2473032523774,1686.347781780796,1689.9669384288932,1665.0175776153403,1665.0175776153403,1665.0175776153403,1665.0175776153403,1665.0175776153403,1658.1530837125101,1651.5756635002908,1622.2965437784933,1607.0087311341738,1607.0087311341738,1700.7936321012994,1672.8561706833812,1672.8561706833812,1738.609142555041,1738.609142555041,1738.609142555041,1738.609142555041,1746.0077801934715,1731.9468299025823,1731.9468299025823,1727.3764093877235,1725.7143521925707,1702.1185560749288,1757.922611677427,1757.0509342122173,1757.0509342122173,1757.0509342122173,1737.987010934698,1737.987010934698,1737.987010934698,1737.987010934698,1757.661650631102,1757.661650631102,1776.0061724284628,1776.0061724284628,1776.0061724284628,1758.8903438055863,1743.4194481750392,1743.4194481750392,1743.4194481750392,1743.4194481750392,1728.285314233148,1712.9792960615703,1712.9792960615703,1692.5864212593135,1692.5864212593135,1677.9872484196349,1677.9872484196349,1677.9872484196349,1677.9872484196349,1677.9872484196349,1677.9872484196349,1659.1466269963246,1659.1466269963246,1659.1466269963246,1659.1466269963246,1659.1466269963246,1659.1466269963246,1659.1466269963246,1659.1466269963246,1659.1466269963246,1651.1483536158164,1644.3958687281431,1644.3958687281431,1644.3958687281431,1644.3958687281431,1635.520927784915,1635.520927784915,1657.4634026702122,1635.6548423073407,1635.6548423073407,1635.6548423073407,1609.6827492963882,1611.0929135818305,1601.675298351559,1615.849828121068,1615.849828121068,1609.3525330270058
Alison Van Uytvanck,1677.539792628758,1666.2352498071957,1666.2352498071957,1649.979573317449,1640.4449628725586,1628.729018857841,1661.4613276094876,1647.435576049589,1647.435576049589,1647.435576049589,1647.435576049589,1623.8286723757558,1615.9131593252798,1612.5419564083822,1612.5419564083822,1624.6915290123782,1616.4445354152997,1616.4445354152997,1682.1170555980896,1682.1170555980896,1689.7603603431344,1689.7603603431344,1689.7603603431344,1669.8419509906003,1656.3558554969356,1656.3558554969356,1670.7965618781425,1663.3934120883257,1663.3934120883257,1663.3934120883257,1642.488416670586,1642.488416670586,1645.8645952391141,1649.1990587572502,1649.1990587572502,1662.881850470789,1662.881850470789,1662.881850470789,1662.881850470789,1662.881850470789,1662.881850470789,1648.6983033773056,1651.9334051518863,1656.9668554576317,1650.0529343931255,1699.82843460099,1699.82843460099,1696.872214616525,1676.9267154386516,1676.9267154386516,1676.9267154386516,1676.9267154386516,1656.3416376356608,1656.3416376356608,1641.2349353347277,1624.5275098679251,1624.5275098679251,1641.008698644463,1641.008698644463,1652.8133959208756,1675.1431750802174,1665.6763507175144,1665.6763507175144,1645.8280026444868,1634.5982516285899,1625.1300361050787,1625.1300361050787,1617.8607813591402,1613.0382545090413,1613.0382545090413,1613.0382545090413,1613.0382545090413,1623.8170240157524,1623.8170240157524,1624.177578672017,1624.177578672017,1624.177578672017,1624.177578672017,1624.177578672017,1624.177578672017,1624.177578672017,1624.177578672017,1624.177578672017,1624.177578672017,1624.177578672017,1611.0614979011496,1589.0810867454122,1567.7012199066603,1579.8350514686408,1579.8350514686408,1579.8350514686408,1577.2007759903527,1577.2007759903527,1577.2007759903527,1611.5492068178187,1611.5492068178187,1598.6877933929948,1598.6877933929948,1602.2507124917383,1598.9433154090245
Alize Cornet,1703.1152338719612,1685.6446834098788,1685.6446834098788,1664.1749422500602,1653.065876734008,1647.0595242559498,1642.9202017103341,1642.2199807577283,1642.2199807577283,1642.2199807577283,1642.2199807577283,1642.2199807577283,1657.7047451670526,1658.9850366511625,1658.9850366511625,1649.9726230632245,1670.7762135165683,1670.7762135165683,1665.6870240684455,1665.6870240684455,1651.4236808396988,1672.2019057223288,1672.2019057223288,1672.2019057223288,1672.2019057223288,1672.2019057223288,1649.1507099015935,1654.0308172895195,1661.4333156095495,1661.4333156095495,1649.1829809454025,1649.1829809454025,1649.1829809454025,1654.7522878041605,1678.4035696871106,1670.6830299567412,1679.334305689851,1663.534194888351,1663.534194888351,1663.534194888351,1663.534194888351,1667.7421371283344,1674.139557601441,1667.658474941766,1640.3970920152015,1640.3970920152015,1640.3970920152015,1641.3285885738026,1641.3285885738026,1641.3285885738026,1641.3285885738026,1641.3285885738026,1629.9914597985364,1647.4327095117126,1654.2867536631838,1652.9100245069935,1652.9100245069935,1661.1054749904424,1661.1054749904424,1661.1054749904424,1655.5703088721848,1655.5703088721848,1655.5703088721848,1675.4205102181215,1697.0356779313026,1697.0356779313026,1697.0356779313026,1700.9338690861819,1689.602446026729,1689.602446026729,1689.602446026729,1675.0094658165615,1683.0399171054744,1683.0399171054744,1658.248404597052,1658.248404597052,1652.9064152536391,1652.9064152536391,1652.9064152536391,1664.7783621151636,1689.6632518967376,1665.22354849722,1665.22354849722,1665.22354849722,1651.0862781096976,1651.0862781096976,1643.230968770581,1622.6679852812422,1622.6679852812422,1675.8408234739504,1678.1102103716257,1680.5267847683444,1680.5267847683444,1680.5267847683444,1673.1739769435876,1641.054425604581,1641.054425604581,1641.054425604581,1685.681334998163,1680.3469083816672
Amanda Anisimova,1783.0960304725093,1727.8837736817504,1756.2000341719042,1756.2000341719042,1756.2000341719042,1756.2000341719042,1756.2000341719042,1756.2000341719042,1756.2000341719042,1756.2000341719042,1756.2000341719042,1752.4049166651255,1752.4049166651255,1796.5819169693118,1796.5819169693118,1796.5819169693118,1796.5819169693118,1796.5819169693118,1796.5819169693118,1750.6907037267172,1744.611352965358,1739.0090545903588,1716.3891412252422,1764.0935792765333,1764.0935792765333,1764.0935792765333,1764.0935792765333,1764.0935792765333,1756.9243400334983,1756.9243400334983,1803.311477901629,1803.311477901629,1803.311477901629,1796.7505902799721,1796.7505902799721,1777.7220795431365,1777.7220795431365,1777.7220795431365,1758.6072635339447,1758.6072635339447,1758.6072635339447,1758.6072635339447,1758.6072635339447,1758.6072635339447,1758.6072635339447,1759.7099641836935,1735.931814961581,1735.931814961581,1735.931814961581,1735.931814961581,1735.931814961581,1735.931814961581,1735.931814961581,1759.1731759024403,1759.1731759024403,1734.063527393959,1734.063527393959,1734.063527393959,1710.8992427117935,1734.9082822956252,1734.9082822956252,1734.9082822956252,1734.9082822956252,1731.90142509906,1728.3212096014415,1728.3212096014415,1727.1627567512332,1705.396507393561,1718.8379213745732,1709.507179316342,1709.507179316342,1709.507179316342,1709.507179316342,1709.507179316342,1709.507179316342,1709.507179316342,1711.0142694497122,1711.0142694497122,1711.0142694497122,1709.742372449237,1707.8972728872386,1707.8972728872386,1707.8972728872386,1698.4162085977728,1700.5911463891866,1710.6565451958886,1710.6565451958886,1700.9490902820892,1700.9490902820892,1681.0307459092353,1690.7359777677805,1674.895648710642,1674.895648710642,1674.895648710642,1674.895648710642,1659.0904154746356,1676.1564442075455,1676.1564442075455,1676.1564442075455,1680.27731295323
Ana Konjuh,1641.2625914807018,1641.2625914807018,1641.2625914807018,1641.2625914807018,1641.2625914807018,1641.2625914807018,1641.2625914807018,1641.2625914807018,1641.2625914807018,1641.2625914807018,1641.2625914807018,1641.2625914807018,1641.2625914807018,1641.2625914807018,1641.2625914807018,1641.2625914807018,1631.9503108116971,1631.9503108116971,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1605.8449308406925,1581.8453388341368,1581.8453388341368,1581.8453388341368,1671.5888610318455,1671.5888610318455,1671.5888610318455,1681.2430096876144,1681.2430096876144,1681.2430096876144,1738.930946374811,1738.930946374811,1733.5011305083735,1733.5011305083735,1733.5011305083735,1733.5011305083735,1712.6108465432453,1696.7152047707305,1681.45430165803,1681.45430165803,1708.0873849387544,1708.0873849387544,1708.0873849387544,1708.0873849387544,1686.7009652200898
Anastasia Pavlyuchenkova,1710.2315646427567,1688.8557356168099,1688.8557356168099,1695.9583545270068,1746.9812312838826,1735.1097219269677,1730.3160341638222,1730.8236990467292,1730.8236990467292,1730.8236990467292,1730.8236990467292,1721.432351195833,1703.6733749189127,1748.2703572284604,1748.2703572284604,1755.415099661169,1770.1823829234495,1770.1823829234495,1756.158009443851,1756.158009443851,1732.1316013227365,1715.9573978842398,1718.3253020359311,1718.3253020359311,1722.936923806114,1726.566141508018,1726.566141508018,1705.2959869380525,1691.3587845257289,1691.3587845257289,1670.1066166398155,1670.1066166398155,1670.1066166398155,1670.1066166398155,1670.1066166398155,1662.9483625834241,1662.9483625834241,1662.9483625834241,1639.9216248042253,1644.7851967165939,1644.7851967165939,1644.7851967165939,1648.3639349867974,1648.3639349867974,1708.1463927272773,1701.9836370637242,1708.1279785755955,1693.7826306402537,1737.054599952478,1737.054599952478,1737.054599952478,1737.054599952478,1737.054599952478,1726.937839717457,1737.9125970000173,1771.9518474836925,1771.9518474836925,1771.9518474836925,1774.2244972341387,1774.2244972341387,1774.2244972341387,1774.2244972341387,1748.2833982946183,1748.2833982946183,1748.2833982946183,1748.2833982946183,1744.7668075486226,1732.795359474483,1727.953520200181,1727.953520200181,1727.953520200181,1716.5071526617767,1720.0664019983546,1720.0664019983546,1707.9135513165625,1707.9135513165625,1694.6380912057882,1694.6380912057882,1687.6958153859837,1687.6958153859837,1687.6958153859837,1687.6958153859837,1670.6018398467243,1733.598427614835,1733.598427614835,1733.598427614835,1733.598427614835,1795.045318767687,1795.045318767687,1795.045318767687,1776.4876548556567,1772.8701497752043,1772.8701497752043,1772.8701497752043,1779.6073850788785,1779.6073850788785,1772.089530728775,1772.089530728775,1772.089530728775,1780.3374055263541
Anastasia Potapova,1639.317594436957,1639.317594436957,1639.317594436957,1639.317594436957,1730.4635301193662,1730.4635301193662,1730.4635301193662,1702.5269616759126,1702.5269616759126,1702.5269616759126,1702.5269616759126,1676.4844169646549,1676.4844169646549,1683.2712554555258,1683.2712554555258,1683.2712554555258,1683.2712554555258,1683.2712554555258,1709.7520752040389,1709.7520752040389,1709.7520752040389,1709.7520752040389,1709.7520752040389,1709.7520752040389,1711.2488770372615,1677.9602594701598,1674.0454948824506,1674.0454948824506,1674.0454948824506,1674.0454948824506,1692.762519639573,1692.762519639573,1692.762519639573,1692.762519639573,1692.762519639573,1700.3785220499851,1684.0887633680181,1692.028559602541,1692.028559602541,1681.9822536067647,1681.9822536067647,1678.5386111902687,1663.8878958959715,1645.7740918099062,1640.0667743527003,1640.0667743527003,1640.0667743527003,1624.7444769773274,1604.583626189206,1604.583626189206,1604.583626189206,1604.583626189206,1604.583626189206,1604.583626189206,1604.583626189206,1606.78138419136,1606.78138419136,1636.976369231818,1636.976369231818,1639.0664163233123,1647.726339942882,1647.726339942882,1647.726339942882,1647.726339942882,1647.726339942882,1647.726339942882,1647.726339942882,1647.726339942882,1647.726339942882,1647.726339942882,1647.726339942882,1638.979596945429,1637.031149583715,1637.031149583715,1641.2825934001678,1641.2825934001678,1687.1498312230958,1687.1498312230958,1687.1498312230958,1664.4536008644218,1649.1011936403047,1649.1011936403047,1650.69946579344,1650.69946579344,1650.69946579344,1650.69946579344,1650.69946579344,1637.2940176171298,1637.2940176171298,1655.7083959948172,1655.7083959948172,1639.2158711702898,1639.2158711702898,1639.2158711702898,1639.2158711702898,1639.2158711702898,1651.7596465448153,1651.7596465448153,1651.7596465448153,1645.5729911607498
Anastasija Sevastova,1767.6353273918608,1812.5572962440092,1812.5572962440092,1812.5572962440092,1793.4045061603067,1834.9057767048432,1834.9057767048432,1826.812648177722,1826.812648177722,1816.6145436140923,1816.6145436140923,1811.8480030285627,1789.6181726196335,1805.3196765290365,1805.3196765290365,1805.3196765290365,1811.8434297051083,1782.2913486555353,1765.2382761404117,1765.2382761404117,1753.7355847500694,1742.89745134561,1726.3693743275453,1726.3693743275453,1726.3693743275453,1734.845976308946,1717.9428136229187,1727.7884583608377,1719.1141599477762,1719.1141599477762,1736.6625231437897,1736.6625231437897,1736.6625231437897,1750.1432368390058,1750.1432368390058,1737.4540494574228,1719.9612214269284,1746.7327187069436,1746.7327187069436,1728.1919268561435,1710.6414182295532,1710.6414182295532,1720.8659617426588,1720.8659617426588,1720.8659617426588,1697.4486146816025,1689.807373020813,1689.807373020813,1686.589329197486,1686.589329197486,1686.589329197486,1686.589329197486,1686.589329197486,1680.1244107604527,1665.3102720321722,1649.0892460765813,1671.7990333258747,1671.7990333258747,1662.2069175771635,1656.571884789244,1656.571884789244,1656.571884789244,1632.364245851525,1620.7649944699822,1624.831990988619,1624.831990988619,1605.070057132686,1605.070057132686,1605.070057132686,1605.070057132686,1605.070057132686,1591.2333249754681,1597.0555664345736,1597.0555664345736,1574.4839571080593,1596.2520323615531,1605.4376874883149,1605.4376874883149,1605.4376874883149,1667.9581547944147,1665.767790435009,1674.831601596895,1674.831601596895,1687.2224402404674,1691.3800982639234,1691.3800982639234,1691.3800982639234,1681.7016321908256,1681.7016321908256,1681.7016321908256,1705.8987945676224,1720.4273826445174,1720.4273826445174,1720.4273826445174,1701.9534766597933,1683.7291977462735,1678.3644232916477,1678.3644232916477,1678.3644232916477,1667.7262492896132
